severity_label,id,incident_no,product_type,brand,mode,incident_type,status,service_type,is_failure_type,count_detail,open_datetime,close_datetime,response_datetime,resolved_datetime,open_to_close,open_to_close_hour,open_to_response,open_to_response_hour,response_to_resolved,response_to_resolved_hour,resolved_to_close,resolved_to_close_hour
Major,2152,SR-ES-23-2152,Hardware,Oracle,Exalogic,Network Cable Failure,Closed,Incident,false,1,2023-01-09 10:00:00,2023-01-10 15:00:00,2023-01-09 10:05:00,2023-01-10 10:10:00,1 days 05:00:00,29.0,0 days 00:05:00,0.08333333333333333,1 days 00:05:00,24.083333333333332,0 days 04:50:00,4.833333333333333
Minor,2116,SR-ES-23-2116,Server,Oracle,SPARC T5-2,CPU Failure,Closed,Incident,false,3,2023-01-09 09:00:00,2023-01-10 14:00:00,2023-01-09 09:10:00,2023-01-10 14:00:00,1 days 05:00:00,29.0,0 days 00:10:00,0.16666666666666666,1 days 04:50:00,28.833333333333332,0 days 00:00:00,0.0
Minor,2107,SR-ES-23-2107,Access Point,Cisco,AIR-AP1572EAC-S-K9,Configuration Change,Closed,Incident,false,1,2023-01-09 09:00:00,2023-01-09 12:00:00,2023-01-09 09:00:00,2023-01-09 12:00:00,0 days 03:00:00,3.0,0 days 00:00:00,0.0,0 days 03:00:00,3.0,0 days 00:00:00,0.0
Cosmatic,2089,SR-ES-23-2089,Storage,Oracle,ZFS Storage 7420,Report,Closed,Request,false,1,2023-01-08 14:30:00,2023-01-08 19:30:00,2023-01-08 14:30:00,2023-01-08 19:30:00,0 days 05:00:00,5.0,0 days 00:00:00,0.0,0 days 05:00:00,5.0,0 days 00:00:00,0.0
Minor,2112,SR-ES-23-2112,Storage,NetApp,FAS8020A,Hard Disk Drive Failure,Closed,Incident,false,2,2023-01-08 14:26:00,2023-01-10 22:00:00,2023-01-08 15:30:00,2023-01-09 23:04:00,2 days 07:34:00,55.56666666666667,0 days 01:04:00,1.0666666666666667,1 days 07:34:00,31.566666666666666,0 days 22:56:00,22.933333333333334
Major,2103,SR-ES-23-2103,Software,VMWare,Vsphere,Upgrade Software,Closed,Incident,false,2,2023-01-07 10:00:00,2023-01-08 18:00:00,2023-01-07 10:01:00,2023-01-08 17:30:00,1 days 08:00:00,32.0,0 days 00:01:00,0.016666666666666666,1 days 07:29:00,31.483333333333334,0 days 00:30:00,0.5
Minor,2096,SR-ES-23-2096,Software,VMWare,vRealize Automation Advanced Per OSI,Software,Closed,Incident,false,2,2023-01-06 14:24:00,2023-01-06 19:18:00,2023-01-06 15:51:00,2023-01-06 19:18:00,0 days 04:54:00,4.9,0 days 01:27:00,1.45,0 days 03:27:00,3.45,0 days 00:00:00,0.0
Minor,2088,SR-ES-23-2088,Access Point,Cisco,AIR-AP2802E-S-K9,Configuration Change,Closed,Request,false,2,2023-01-06 14:00:00,2023-01-10 12:00:00,2023-01-06 14:00:00,2023-01-10 12:00:00,3 days 22:00:00,94.0,0 days 00:00:00,0.0,3 days 22:00:00,94.0,0 days 00:00:00,0.0
Minor,2087,SR-ES-23-2087,Access Point,Cisco,AIR-AP2802E-S-K9,Configuration Change,Closed,Request,false,2,2023-01-06 13:00:00,2023-01-10 11:00:00,2023-01-06 13:00:00,2023-01-10 11:00:00,3 days 22:00:00,94.0,0 days 00:00:00,0.0,3 days 22:00:00,94.0,0 days 00:00:00,0.0
Minor,2097,SR-ES-23-2097,Software,VMWare,vRealize Automation Advanced Per OSI,Software,Closed,Incident,false,2,2023-01-06 12:20:00,2023-01-06 20:25:00,2023-01-06 12:27:00,2023-01-06 20:25:00,0 days 08:05:00,8.083333333333334,0 days 00:07:00,0.11666666666666667,0 days 07:58:00,7.966666666666667,0 days 00:00:00,0.0
Major,2154,SR-ES-23-2154,Hardware,Oracle,ZFS Storage ZS3-2,Hard Disk Drive Failure,Closed,Incident,false,1,2023-01-06 09:00:00,2023-01-06 15:30:00,2023-01-06 09:05:00,2023-01-06 11:59:00,0 days 06:30:00,6.5,0 days 00:05:00,0.08333333333333333,0 days 02:54:00,2.9,0 days 03:31:00,3.5166666666666666
