severity_id,severity_name,sla,product_type,brand,service_type,incident_type,open_to_close_hour,response_to_resolved_hour,label_multi_severity,label_binary_severity
3,Minor,24x7 4Hrs Response Time,Software,VMWare,Incident,General Incident,19.2,19.0,1,0
2,Major,24x7 4Hrs Resolution Time,Server,HPE,Incident,Memory Failure,3.4833333333333334,2.2666666666666666,2,1
3,Minor,24x7 4Hrs Resolution Time,Server,HPE,Incident,General Incident,4.85,4.0,1,0
3,Minor,24x7 4Hrs Response Time,Software,Red Hat,Incident,General Incident,5.35,5.0,1,0
2,Major,24x7 4Hrs Resolution Time,Firewall,Palo Alto,Incident,General Incident,0.65,0.65,2,1
3,Minor,24x7 4Hrs Resolution Time,Storage,HPE,Incident,Hard Disk Drive Failure,2.4833333333333334,1.6666666666666667,1,0
3,Minor,24x7 4Hrs Resolution Time,Storage,NetApp,Incident,Hard Disk Drive Failure,113.98333333333333,113.65,1,0
4,Cosmetic,24x7 4Hrs Response Time,Software,Veritas,Incident,Software,5.0,4.5,0,0
2,Major,24x7 4Hrs Resolution Time,Server,HPE,Incident,General Incident,83.45,83.45,2,1
2,Major,24x7 4Hrs Resolution Time,Storage,HPE,Incident,General Incident,18.166666666666668,18.0,2,1
4,Cosmetic,24x7 4Hrs Response Time,Software,VMWare,Incident,General Incident,8.05,7.0,0,0
4,Cosmetic,24x7 6Hrs Resolution Time,Server,DELL,Request,General Incident,106.25,87.35,0,0
3,Minor,24x7 4Hrs Response Time,Storage,NetApp,Incident,General Incident,3.2,3.033333333333333,1,0
2,Major,24x7 4Hrs Resolution Time,Hardware,Oracle,Incident,Hard Disk Drive Failure,28.0,27.75,2,1
2,Major,24x7 4Hrs Resolution Time,Server,HPE,Incident,Hard Disk Drive Failure,6.116666666666666,0.11666666666666667,2,1
4,Cosmetic,24x7 4Hrs Response Time,Software,Trend Micro,Request,General Incident,7.4,7.283333333333333,0,0
2,Major,24x7 4Hrs Resolution Time,Software,VMWare,Incident,Software,1.5,1.3,2,1
3,Minor,24x7 4Hrs Resolution Time,Storage,HPE,Incident,Hard Disk Drive Failure,67.25,67.0,1,0
2,Major,24x7 4Hrs Resolution Time,Server,HPE,Incident,Hard Disk Drive Failure,7.016666666666667,2.95,2,1
2,Major,24x7 6Hrs Resolution Time,Storage,HPE,Incident,Hard Disk Drive Failure,43.53333333333333,43.516666666666666,2,1
2,Major,24x7 4Hrs Resolution Time,Hardware,Oracle,Incident,General Incident,198.0,196.5,2,1
3,Minor,24x7 4Hrs Response Time,Software,Red Hat,Incident,General Incident,1.75,1.4,1,0
2,Major,24x7 4Hrs Resolution Time,Storage,Oracle,Incident,Hard Disk Drive Failure,2.0,2.0,2,1
2,Major,24x7 4Hrs Resolution Time,Storage,HPE,Incident,Hard Disk Drive Failure,26.133333333333333,4.7,2,1
2,Major,24x7 4Hrs Resolution Time,Server,HPE,Incident,Memory Failure,6.166666666666667,6.0,2,1
2,Major,24x7 4Hrs Resolution Time,Server,HPE,Incident,General Incident,8.7,8.5,2,1
4,Cosmetic,24x7 4Hrs Response Time,Server,Cisco,Request,Maintenance System,168.18333333333334,167.68333333333334,0,0
3,Minor,24x7 4Hrs Resolution Time,Storage,NetApp,Incident,Hard Disk Drive Failure,20.0,19.966666666666665,1,0
2,Major,24x7 4Hrs Resolution Time,Storage,HPE,Incident,Hard Disk Drive Failure,6.233333333333333,6.066666666666666,2,1
2,Major,24x7 4Hrs Resolution Time,Storage,HPE,Incident,Controller/Node Failure,6.033333333333333,4.5,2,1
2,Major,9x5 NBD 4Hrs Response Time,Server,HPE,Incident,General Incident,30.65,30.55,2,1
3,Minor,24x7 4Hrs Resolution Time,Server,HPE,Incident,Memory Failure,4.0,4.0,1,0
2,Major,24x7 4Hrs Response Time,Storage,NetApp,Incident,Hard Disk Drive Failure,4.45,3.8666666666666667,2,1
3,Minor,24x7 4Hrs Resolution Time,Storage,HPE,Incident,Hard Disk Drive Failure,3.35,3.0,1,0
2,Major,24x7 4Hrs Response Time,Software,Veeam,Incident,Backup Failure,172.18333333333334,172.05,2,1
2,Major,24x7 4Hrs Resolution Time,Server,HPE,Incident,General Incident,12.35,12.183333333333334,2,1
3,Minor,24x7 4Hrs Resolution Time,Hardware,Oracle,Incident,Hard Disk Drive Failure,166.33333333333334,166.0,1,0
3,Minor,24x7 4Hrs Response Time,Software,VMWare,Incident,General Incident,2.2666666666666666,2.183333333333333,1,0
3,Minor,24x7 4Hrs Resolution Time,Storage,NetApp,Request,General Incident,6.0,6.0,1,0
2,Major,24x7 6Hrs Resolution Time,Storage,NetApp,Incident,Hard Disk Drive Failure,5.75,5.633333333333334,2,1
